"geoid","name","state","county","total_energy_burden","electricity_burden","gas_burden","other_burden","total_energy_cost","electricity_cost","gas_cost","other_cost","total_households","income","black","amerind","asian","hawaiian_pi","hispanic","white","multiracial","other_race","no_high_school","high_school","some_college","bachelor"
51001090101,"Census Tract 901.01, Accomack County","Virginia","Accomack County",2,2,0,0,2130,1435,370,325,1005,89910,0,0,0,0,4,94,2,0,7,22,36,36
51001090102,"Census Tract 901.02, Accomack County","Virginia","Accomack County",3,2,1,1,2049,1238,473,338,793,61612,0,0,0,0,0,94,6,0,8,26,31,35
51001090201,"Census Tract 902.01, Accomack County","Virginia","Accomack County",3,2,1,0,2226,1326,620,280,1408,65471,13,0,2,0,3,76,6,0,18,23,29,29
51001090202,"Census Tract 902.02, Accomack County","Virginia","Accomack County",3,2,1,1,2655,1481,752,422,1141,83959,44,0,3,0,3,49,1,0,16,28,46,10
51001090300,"Census Tract 903, Accomack County","Virginia","Accomack County",4,2,1,1,3039,1682,728,629,861,77544,16,0,0,0,5,70,9,1,25,43,27,6
51001090401,"Census Tract 904.01, Accomack County","Virginia","Accomack County",3,2,1,0,2752,1512,902,338,1081,83702,32,0,1,0,4,56,5,0,30,32,17,22
51001090402,"Census Tract 904.02, Accomack County","Virginia","Accomack County",4,2,1,1,2321,1491,497,333,1448,65957,33,0,0,0,8,29,20,10,36,31,24,8
51001090500,"Census Tract 905, Accomack County","Virginia","Accomack County",4,2,1,1,3026,1585,798,643,890,74276,29,0,1,0,3,63,4,0,19,34,23,23
51001090600,"Census Tract 906, Accomack County","Virginia","Accomack County",3,2,1,1,2859,1437,796,626,1994,89359,28,1,0,0,3,62,6,0,11,29,25,35
51001090700,"Census Tract 907, Accomack County","Virginia","Accomack County",4,2,1,1,2599,1517,725,357,2363,70712,32,0,1,0,1,60,4,1,12,25,35,28
51001090800,"Census Tract 908, Accomack County","Virginia","Accomack County",5,2,1,1,2875,1456,618,801,1244,62729,50,1,0,0,0,44,2,3,20,34,26,20
51001980100,"Census Tract 9801, Accomack County","Virginia","Accomack County",3,2,1,0,2059,1440,521,98,24,62612,0,0,0,0,0,100,0,0,0,100,0,0
51003010100,"Census Tract 101, Albemarle County","Virginia","Albemarle County",2,1,0,0,3066,1949,621,496,1824,137656,3,0,0,0,0,88,9,0,3,18,18,61
51003010201,"Census Tract 102.01, Albemarle County","Virginia","Albemarle County",2,1,0,0,2502,1933,431,138,1982,149218,8,0,4,0,1,76,8,3,0,12,21,66
51003010202,"Census Tract 102.02, Albemarle County","Virginia","Albemarle County",2,1,0,0,3277,2147,677,453,1201,207170,1,0,3,0,1,88,6,1,1,5,14,80
51003010301,"Census Tract 103.01, Albemarle County","Virginia","Albemarle County",2,1,0,0,3008,1971,425,612,676,141732,10,0,12,0,1,66,10,0,2,17,27,54
51003010302,"Census Tract 103.02, Albemarle County","Virginia","Albemarle County",1,1,0,0,2513,1760,725,28,450,180456,10,0,3,0,4,63,17,2,3,7,18,72
51003010303,"Census Tract 103.03, Albemarle County","Virginia","Albemarle County",1,1,0,0,2360,1778,553,29,2174,157891,2,1,5,0,3,83,7,0,2,18,21,58
51003010401,"Census Tract 104.01, Albemarle County","Virginia","Albemarle County",2,1,1,0,3132,1984,771,377,1870,149234,9,0,0,0,1,87,1,2,9,15,21,55
51003010402,"Census Tract 104.02, Albemarle County","Virginia","Albemarle County",2,1,1,0,3190,2137,955,98,1419,160467,3,0,3,0,0,85,9,0,5,7,22,66
51003010501,"Census Tract 105.01, Albemarle County","Virginia","Albemarle County",2,1,0,0,2528,1835,638,55,1196,162061,4,0,13,0,1,76,5,0,3,6,19,71
51003010502,"Census Tract 105.02, Albemarle County","Virginia","Albemarle County",1,1,0,0,1326,1177,136,13,1704,121123,20,0,2,0,1,73,3,1,2,16,23,59
51003010602,"Census Tract 106.02, Albemarle County","Virginia","Albemarle County",1,1,0,0,1903,1461,417,25,2251,136480,8,0,5,0,3,81,4,0,2,7,22,70
51003010603,"Census Tract 106.03, Albemarle County","Virginia","Albemarle County",3,2,0,0,1899,1458,157,284,1351,64676,9,1,0,0,3,79,8,0,3,16,13,69
51003010604,"Census Tract 106.04, Albemarle County","Virginia","Albemarle County",2,1,0,0,2355,1847,333,175,1655,146872,13,0,4,0,1,77,4,0,14,10,15,61
51003010701,"Census Tract 107.01, Albemarle County","Virginia","Albemarle County",1,1,0,0,1340,1200,133,7,1466,91341,31,0,16,0,4,46,3,0,3,8,34,56
51003010702,"Census Tract 107.02, Albemarle County","Virginia","Albemarle County",3,2,0,0,2068,1477,357,234,1460,80777,24,0,1,0,4,54,7,9,12,21,22,45
51003010801,"Census Tract 108.01, Albemarle County","Virginia","Albemarle County",2,1,0,0,1657,1162,435,60,1750,93224,13,0,8,0,3,61,2,12,7,13,24,57
51003010802,"Census Tract 108.02, Albemarle County","Virginia","Albemarle County",1,1,0,0,2016,1638,316,62,961,138840,21,0,2,0,10,56,2,9,9,19,27,46
51003010901,"Census Tract 109.01, Albemarle County","Virginia","Albemarle County",2,2,0,0,1288,1219,68,1,725,70601,10,0,21,0,2,63,3,1,1,1,8,91
51003010904,"Census Tract 109.04, Albemarle County","Virginia","Albemarle County",2,2,0,0,1403,1292,106,5,544,74950,9,0,19,0,4,58,9,1,19,17,23,41
51003011000,"Census Tract 110, Albemarle County","Virginia","Albemarle County",2,1,0,0,3213,2088,752,373,2676,201413,0,0,4,0,5,89,1,0,1,3,13,82
51003011101,"Census Tract 111.01, Albemarle County","Virginia","Albemarle County",2,2,0,0,2343,1777,447,119,1002,112780,5,0,4,0,0,89,2,0,3,12,20,64
51003011102,"Census Tract 111.02, Albemarle County","Virginia","Albemarle County",2,1,1,0,2713,1900,784,29,1164,152131,0,0,2,0,1,92,5,0,1,7,16,76
51003011103,"Census Tract 111.03, Albemarle County","Virginia","Albemarle County",2,1,0,0,2636,1800,655,181,1601,158782,2,0,3,0,3,89,2,0,1,8,16,75
51003011201,"Census Tract 112.01, Albemarle County","Virginia","Albemarle County",2,1,0,0,2904,2060,607,237,1748,138738,4,0,1,0,5,87,3,0,2,14,21,63
51003011202,"Census Tract 112.02, Albemarle County","Virginia","Albemarle County",2,1,0,0,3056,2151,748,157,1470,180674,2,0,8,0,1,86,3,0,5,13,11,71
51003011301,"Census Tract 113.01, Albemarle County","Virginia","Albemarle County",2,2,0,0,2752,1988,520,244,2116,129363,9,0,6,0,0,82,3,0,11,15,22,52
51003011302,"Census Tract 113.02, Albemarle County","Virginia","Albemarle County",2,1,0,0,1597,1394,139,64,1945,93354,13,0,9,0,12,53,11,3,9,7,21,64
51003011303,"Census Tract 113.03, Albemarle County","Virginia","Albemarle County",2,1,0,0,1788,1546,230,12,1716,116828,13,0,4,0,3,73,4,4,1,10,20,69
51003011400,"Census Tract 114, Albemarle County","Virginia","Albemarle County",3,2,0,0,2754,1998,434,322,1934,99286,19,0,0,1,1,76,3,0,12,20,29,39
51005070100,"Census Tract 701, Alleghany County","Virginia","Alleghany County",4,3,1,0,2390,1674,621,95,1429,54913,12,0,0,0,1,83,2,2,9,46,26,19
51005080100,"Census Tract 801, Alleghany County","Virginia","Alleghany County",4,3,1,1,2743,1923,380,440,1430,75099,3,0,0,0,0,92,5,0,11,45,29,16
51005080201,"Census Tract 802.01, Alleghany County","Virginia","Alleghany County",3,2,0,0,2717,2049,346,322,1169,89999,2,0,0,0,6,92,0,0,13,32,37,18
51005080202,"Census Tract 802.02, Alleghany County","Virginia","Alleghany County",4,3,1,0,2467,1836,364,267,977,66894,5,0,0,0,0,95,0,0,13,40,34,13
51005080301,"Census Tract 803.01, Alleghany County","Virginia","Alleghany County",4,3,0,0,2996,2258,367,371,788,76251,2,0,0,0,0,98,0,0,6,40,42,11
51005080302,"Census Tract 803.02, Alleghany County","Virginia","Alleghany County",4,3,0,1,2707,2006,236,465,516,73208,3,0,0,0,1,94,2,0,7,57,30,6
51007930101,"Census Tract 9301.01, Amelia County","Virginia","Amelia County",3,2,0,0,3137,2274,445,418,946,116591,13,0,0,0,0,78,9,0,10,31,32,28
51007930102,"Census Tract 9301.02, Amelia County","Virginia","Amelia County",5,3,1,1,3963,2669,863,431,1728,77910,16,0,0,0,4,78,3,0,16,34,28,22
